Species (num),Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex (num),Delta 15 N (norm.),Delta 13 C (norm.)
3.0,43.5,15.2,213.0,4650.0,1.0,0.24407915629021773,0.2810636144444069
3.0,51.5,16.3,230.0,5500.0,0.0,0.48192826461199045,0.38908095961768846
3.0,46.2,14.1,217.0,4375.0,1.0,0.2800011699620599,0.32759287746025095
3.0,55.1,16.0,230.0,5850.0,0.0,0.1885895271681901,0.25904168227133917
3.0,48.8,16.2,222.0,6000.0,0.0,0.2950184686868013,0.35070120431957924
3.0,47.2,13.7,214.0,4925.0,1.0,0.1502732697096822,0.2516845307920155
3.0,46.8,14.3,215.0,4850.0,1.0,0.325629690294329,0.27244055006855755
3.0,50.4,15.7,222.0,5750.0,0.0,0.2797295716267487,0.3025098502880028
3.0,45.2,14.8,212.0,5200.0,1.0,0.2549932309337966,0.27820679878794324
3.0,49.9,16.1,213.0,5400.0,0.0,0.3057361568417707,0.2671819045644055
